ii, x  , y,,,,,,,,,,,,
20,198,421,0,60,,,,,,,,,,
21,198,452,0,31,,,,,,,,,,
22,199,390,1,-62,,,,,,,,,,
23,211,451,12,61,,,,,,,,,,
24,212,391,1,-60,,,,,,,,,,
25,212,422,0,31,,,,,,,,,,
26,212,436,0,14,,,,,,,,,,
27,213,361,1,-75,,,,,,,,,,
28,214,374,1,13,,,,,,,,,,
29,214,404,0,30,,,,,,,,,,
30,215,330,1,-74,,,,,,,,,,
31,215,344,0,14,,,,,,,,,,
32,227,375,12,31,,,,,,,,,,
33,227,388,0,13,,,,,,,,,,
34,227,421,0,33,,,,,,,,,,
35,227,436,0,15,,,,,,,,,,
36,228,330,1,-106,,,,,,,,,,
37,228,345,0,15,,,,,,,,,,
38,228,360,0,15,,,,,,,,,,
39,229,405,1,45,,,,,,,,,,
40,229,450,0,45,,,,,,,,,,
41,242,345,13,-105,,,,,,,,,,
42,242,389,0,44,,,,,,,,,,
43,242,420,0,31,,,,,,,,,,
44,242,435,0,15,,,,,,,,,,
45,244,329,2,-106,,,,,,,,,,
46,244,359,0,30,,,,,,,,,,
47,244,372,0,13,,,,,,,,,,
48,244,404,0,32,,,,,,,,,,
49,257,329,13,-75,,,,,,,,,,
50,257,344,0,15,,,,,,,,,,
51,257,357,0,13,,,,,,,,,,
52,257,403,0,46,,,,,,,,,,
53,257,417,0,14,,,,,,,,,,
54,259,371,2,-46,,,,,,,,,,
55,259,386,0,15,,,,,,,,,,
56,259,432,0,46,,,,,,,,,,
57,259,448,0,16,,,,,,,,,,
58,271,342,12,-106,,,,,,,,,,
59,271,358,0,16,,,,,,,,,,
60,271,371,0,13,,,,,,,,,,
61,271,388,0,17,,,,,,,,,,
62,271,418,0,30,,,,,,,,,,
63,271,431,0,13,,,,,,,,,,
64,273,328,2,-103,,,,,,,,,,
65,273,401,0,73,,,,,,,,,,
66,285,328,12,-73,,,,,,,,,,
67,285,343,0,15,,,,,,,,,,
68,285,372,0,29,,,,,,,,,,
69,286,400,1,28,,,,,,,,,,
70,287,357,1,-43,,,,,,,,,,
71,287,385,0,28,,,,,,,,,,
72,288,417,1,32,,,,,,,,,,
73,288,430,0,13,,,,,,,,,,
74,299,343,11,-87,,,,,,,,,,
75,300,355,1,12,,,,,,,,,,
76,300,371,0,16,,,,,,,,,,
77,300,384,0,13,,,,,,,,,,
78,300,401,0,17,,,,,,,,,,
79,300,414,0,13,,,,,,,,,,
80,301,432,1,18,,,,,,,,,,
,,,,,,,,,,,,,,
,224.5061728,375.7777778,3.5,1.975,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0,23,270,,,,,,,,,,,,
1,40,281,,,,,,,,,,,,
2,44,359,,,,,,,,,,,,
3,53,282,,,,,,,,,,,,
4,65,251,,,,,,,,,,,,
5,79,279,,,,,,,,,,,,
6,89,249,,,,,,,,,,,,
7,105,261,,,,,,,,,,,,
8,116,285,,,,,,,,,,,,
9,183,406,,,,,,,,,,,,
10,183,437,,,,,,,,,,,,
11,184,345,,,,,,,,,,,,
12,184,362,,,,,,,,,,,,
13,184,375,,,,,,,,,,,,
14,196,439,,,,,,,,,,,,
15,197,377,,,,,,,,,,,,
16,197,407,,,,,,,,,,,,
17,198,331,,,,,,,,,,,,
18,198,347,,,,,,,,,,,,
19,198,361,,,,,,,,,,,,
20,198,421,,,,,,,,,,,,
21,199,390,,,,,,,,,,,,
22,211,451,,,,,,,,,,,,
23,212,391,,,,,,,,,,,,
24,212,422,,,,,,,,,,,,
25,212,436,,,,,,,,,,,,
26,213,361,,,,,,,,,,,,
27,214,374,,,,,,,,,,,,
28,214,406,,,,,,,,,,,,
29,215,330,,,,,,,,,,,,
30,215,344,,,,,,,,,,,,
31,227,421,,,,,,,,,,,,
32,227,436,,,,,,,,,,,,
33,228,330,,,,,,,,,,,,
34,228,360,,,,,,,,,,,,
35,228,375,,,,,,,,,,,,
36,229,390,,,,,,,,,,,,
37,229,405,,,,,,,,,,,,
38,229,450,,,,,,,,,,,,
39,230,343,,,,,,,,,,,,
40,242,389,,,,,,,,,,,,
41,242,420,,,,,,,,,,,,
42,242,435,,,,,,,,,,,,
43,244,329,,,,,,,,,,,,
44,244,343,,,,,,,,,,,,
45,244,359,,,,,,,,,,,,
46,244,374,,,,,,,,,,,,
47,244,404,,,,,,,,,,,,
48,257,329,,,,,,,,,,,,
49,257,357,,,,,,,,,,,,
50,257,388,,,,,,,,,,,,
51,257,417,,,,,,,,,,,,
52,259,342,,,,,,,,,,,,
53,259,371,,,,,,,,,,,,
54,259,401,,,,,,,,,,,,
55,259,432,,,,,,,,,,,,
56,259,448,,,,,,,,,,,,
57,270,329,,,,,,,,,,,,
58,271,343,,,,,,,,,,,,
59,271,358,,,,,,,,,,,,
60,271,371,,,,,,,,,,,,
61,271,388,,,,,,,,,,,,
62,271,418,,,,,,,,,,,,
63,271,431,,,,,,,,,,,,
64,272,447,,,,,,,,,,,,
65,273,401,,,,,,,,,,,,
66,285,328,,,,,,,,,,,,
67,285,343,,,,,,,,,,,,
68,285,355,,,,,,,,,,,,
69,285,372,,,,,,,,,,,,
70,286,400,,,,,,,,,,,,
71,286,415,,,,,,,,,,,,
72,288,387,,,,,,,,,,,,
73,288,430,,,,,,,,,,,,
74,299,343,,,,,,,,,,,,
75,299,355,,,,,,,,,,,,
76,300,371,,,,,,,,,,,,
77,300,384,,,,,,,,,,,,
78,300,401,,,,,,,,,,,,
79,300,414,,,,,,,,,,,,
80,300,432,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,23,270,,,,,,,,,,,,
1,40,282,,,,,,,,,,,,
2,50,252,,,,,,,,,,,,
3,53,282,,,,,,,,,,,,
4,65,251,,,,,,,,,,,,
5,79,279,,,,,,,,,,,,
6,90,249,,,,,,,,,,,,
7,116,285,,,,,,,,,,,,
8,116,300,,,,,,,,,,,,
9,183,406,,,,,,,,,,,,
10,183,424,,,,,,,,,,,,
11,183,438,,,,,,,,,,,,
12,184,345,,,,,,,,,,,,
13,184,362,,,,,,,,,,,,
14,184,375,,,,,,,,,,,,
15,196,439,,,,,,,,,,,,
16,197,377,,,,,,,,,,,,
17,197,392,,,,,,,,,,,,
18,197,407,,,,,,,,,,,,
19,198,331,,,,,,,,,,,,
20,198,347,,,,,,,,,,,,
21,198,361,,,,,,,,,,,,
22,198,421,,,,,,,,,,,,
23,212,391,,,,,,,,,,,,
24,212,406,,,,,,,,,,,,
25,212,422,,,,,,,,,,,,
26,212,436,,,,,,,,,,,,
27,213,361,,,,,,,,,,,,
28,213,374,,,,,,,,,,,,
29,215,330,,,,,,,,,,,,
30,215,344,,,,,,,,,,,,
31,227,421,,,,,,,,,,,,
32,227,436,,,,,,,,,,,,
33,228,330,,,,,,,,,,,,
34,228,360,,,,,,,,,,,,
35,228,375,,,,,,,,,,,,
36,229,388,,,,,,,,,,,,
37,229,405,,,,,,,,,,,,
38,229,450,,,,,,,,,,,,
39,230,343,,,,,,,,,,,,
40,242,360,,,,,,,,,,,,
